,best individuals,best Fitnesses
0,"[1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 55, -59, 24, 55, 78, 188, 33, -3, 235, 72, 24, 33, 38, -81, 260, 43, 47, 108, 56, -61, 334, 65, 50, 90, 34, -71, 43, 40, -8, 60, 69, -46, 12, 54, 61, 250, 42, 62, 2, 39, 12, 184, 59, -75, 159, 46, -71, 241]",528.2398784162284
1,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 68, 32, 328, 39, -33, 107, 42, -15, 310, 50, 10, 217, 68, -74, 339, 47, -59, 286, 47, 0, 293, 55, 8, 16, 72, 14, 70, 53, -15, 118, 64, 15, 240, 55, 71, 141, 48, -33, 289, 66, 41, 337, 33, -51, 47, 41, -61, 25]",531.3669050007197
2,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 67, 70, 342, 45, 76, 107, 65, 14, 7, 55, -26, 201, 43, -53, 149, 38, 23, 272, 59, -24, 183, 65, -51, 1, 47, -16, 10, 57, -54, 192, 58, 39, 71, 46, 46, 40, 54, 7, 204, 60, 48, 343, 61, 52, 122, 50, -17, 189]",564.6594933499875
3,"[0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 61, -12, 87, 59, -17, 286, 54, 73, 248, 71, -78, 125, 39, -46, 121, 50, -46, 342, 51, -50, 179, 51, -26, 262, 51, -20, 182, 34, -74, 282, 70, -5, 8, 46, -11, 284, 52, -61, 192, 33, 19, 246, 68, -2, 172, 57, -88, 297]",591.6383103014684
4,"[0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 57, 15, 55, 49, -37, 314, 64, -27, 105, 71, 1, 26, 33, 4, 283, 59, -22, 23, 37, -69, 235, 63, -40, 60, 69, -1, 59, 35, 69, 307, 63, 12, 178, 57, -84, 259, 65, -59, 47, 68, 73, 65, 34, -30, 268, 65, -39, 351]",579.5753810483402
5,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 64, -25, 153, 47, 30, 48, 37, -41, 16, 40, -2, 174, 65, -22, 222, 45, -29, 128, 59, 26, 47, 35, 63, 3, 61, 60, 358, 57, -36, 122, 34, 16, 74, 38, 7, 278, 46, -7, 72, 59, -56, 312, 48, 40, 111, 68, -29, 45]",544.0425564839112
6,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 40, -36, 302, 54, -61, 1, 42, -82, 23, 65, 35, 317, 49, 62, 234, 47, 53, 34, 39, -46, 305, 58, -59, 40, 58, -45, 284, 68, 74, 280, 52, 27, 266, 58, 51, 245, 72, 32, 152, 68, -47, 149, 68, 36, 354, 41, -57, 228]",562.0918076924285
7,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 55, -46, 182, 38, -61, 298, 54, -11, 35, 52, 43, 137, 56, -63, 173, 34, 69, 354, 59, 13, 148, 62, -46, 135, 41, -36, 99, 34, -58, 248, 45, -80, 180, 40, 27, 66, 40, 62, 129, 39, 40, 218, 51, -57, 115, 55, 23, 213]",559.9935392618909
8,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 54, 88, 162, 57, -33, 158, 66, -59, 345, 40, 80, 126, 58, 71, 126, 61, 1, 323, 56, 77, 23, 61, -52, 69, 33, 5, 15, 54, 2, 98, 39, 86, 357, 43, -6, 165, 50, -12, 37, 46, 13, 55, 39, 9, 173, 41, 81, 199]",576.1320424589901
9,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 37, 55, 207, 39, 9, 287, 51, -86, 154, 71, -48, 38, 64, -35, 162, 47, 14, 134, 71, -14, 349, 72, 77, 263, 61, 87, 83, 57, 46, 322, 37, -42, 242, 64, -21, 273, 71, 38, 232, 64, 40, 52, 60, -50, 229, 64, -28, 200]",525.1117504950047
10,"[0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 59, 52, 157, 67, 73, 37, 55, -46, 296, 32, 8, 206, 67, 90, 75, 36, -14, 323, 62, 17, 181, 42, -4, 79, 58, -31, 60, 70, 75, 56, 48, 82, 283, 35, 73, 48, 60, 69, 210, 40, -61, 198, 51, -50, 118, 36, -85, 288]",554.7679130509905
11,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 57, -9, 136, 72, 17, 131, 50, 78, 8, 54, 65, 232, 38, -26, 298, 67, -13, 318, 59, -62, 340, 58, 11, 203, 37, 37, 108, 33, 80, 147, 44, -72, 340, 49, 57, 86, 56, 35, 37, 69, 8, 244, 63, 22, 79, 58, 21, 337]",564.307109310474
12,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 40, 51, 76, 62, -64, 222, 51, -20, 246, 62, -24, 205, 67, -76, 82, 64, 54, 130, 36, 76, 94, 57, -6, 184, 54, -60, 299, 39, -66, 206, 36, 20, 23, 65, -87, 100, 62, -42, 26, 64, -89, 208, 69, -22, 68, 64, -37, 12]",580.333419860533
13,"[1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 65, 78, 339, 38, 19, 42, 35, 8, 135, 67, -19, 290, 48, 8, 56, 65, 57, 181, 50, 17, 330, 37, 3, 5, 35, 73, 215, 57, -4, 283, 36, 44, 196, 65, -76, 306, 40, 40, 191, 39, 53, 125, 56, 86, 25, 44, 3, 62]",562.8139615823129
14,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 35, -19, 243, 56, 77, 101, 71, -3, 211, 38, -79, 258, 70, 28, 217, 62, -77, 94, 50, -43, 97, 67, 15, 225, 46, -25, 340, 59, 47, 253, 44, -68, 100, 60, -22, 119, 70, 7, 193, 70, -72, 284, 66, -61, 333, 51, -20, 301]",525.0038438113218
15,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 60, -54, 279, 39, 68, 272, 54, -73, 278, 45, -42, 183, 34, -71, 315, 64, 22, 69, 38, -11, 84, 42, -16, 79, 64, -76, 205, 58, -84, 154, 44, -27, 352, 52, 84, 54, 61, 73, 11, 41, -69, 55, 35, -39, 231, 37, 64, 183]",526.7052517332795
16,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 43, 79, 216, 42, 25, 103, 71, -70, 336, 64, 76, 124, 38, -4, 137, 53, 58, 293, 54, -77, 244, 37, 15, 276, 44, -74, 275, 45, -44, 143, 55, 89, 142, 35, -89, 216, 62, 37, 354, 61, 57, 339, 49, 82, 97, 70, 86, 159]",531.346901949464
17,"[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 65, 14, 222, 71, -39, 166, 32, 46, 181, 67, -4, 7, 61, -39, 248, 43, 50, 49, 42, 10, 138, 61, 37, 124, 42, 88, 2, 42, 45, 149, 34, -42, 142, 37, -87, 13, 44, 45, 274, 65, -60, 150, 45, 87, 148, 33, -52, 113]",540.2946716883664
18,"[0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 36, -9, 218, 71, 73, 159, 50, -9, 74, 66, 74, 283, 49, -18, 154, 35, -73, 12, 41, -23, 259, 50, 36, 117, 49, -11, 91, 39, -67, 288, 72, -2, 14, 36, -73, 160, 50, -24, 296, 41, 8, 176, 38, 63, 304, 62, -67, 16]",563.8257365720519
19,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 62, -48, 197, 58, 53, 82, 63, 45, 22, 36, 28, 346, 55, 71, 160, 34, 19, 118, 49, 66, 177, 36, -60, 199, 45, -17, 286, 62, 35, 260, 34, 78, 317, 57, 74, 130, 50, -86, 274, 46, 42, 78, 37, 14, 157, 33, 10, 284]",527.154340056753
20,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 53, 21, 75, 33, -90, 0, 51, 71, 309, 55, 39, 18, 68, -5, 292, 70, -14, 118, 67, 57, 83, 32, 31, 260, 39, 2, 179, 57, 68, 18, 59, 74, 322, 65, -27, 43, 55, 21, 268, 69, 56, 283, 54, 69, 241, 69, 90, 337]",543.501525854879
21,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 53, 32, 101, 46, -65, 284, 36, 53, 102, 53, -77, 9, 40, 58, 316, 60, 39, 212, 69, -55, 296, 64, -66, 52, 59, 66, 272, 54, 50, 281, 70, 43, 267, 53, 75, 81, 49, -19, 233, 45, 42, 165, 43, -53, 20, 71, 72, 132]",559.5245012915707
22,"[0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 50, -47, 196, 50, 49, 286, 35, 23, 308, 44, 65, 73, 48, -76, 69, 38, -70, 197, 41, 49, 247, 42, -64, 101, 67, 43, 104, 66, -30, 217, 69, -75, 258, 53, 48, 198, 66, -1, 232, 71, 1, 95, 42, -54, 243, 44, 51, 251]",543.5631692581331
23,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 47, -3, 42, 55, -50, 308, 42, -52, 124, 68, -72, 100, 70, 1, 38, 55, 48, 339, 41, 17, 54, 46, 33, 179, 67, -3, 181, 50, -84, 334, 69, 89, 292, 32, -33, 104, 56, 21, 127, 36, 78, 131, 42, -57, 25, 35, 26, 16]",557.9881837494192
24,"[0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 70, 17, 257, 42, 63, 47, 60, 20, 301, 46, -51, 283, 70, 73, 334, 39, 83, 161, 60, 28, 287, 51, 54, 24, 68, 48, 179, 38, -82, 315, 53, 80, 157, 63, 35, 205, 46, 47, 80, 72, -27, 208, 61, -56, 143, 39, -16, 144]",593.334659279884
25,"[0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 70, -36, 61, 42, 19, 251, 56, -47, 80, 45, 88, 239, 51, 89, 294, 48, 8, 172, 66, -2, 70, 45, -60, 171, 51, -8, 96, 61, 12, 170, 70, 86, 237, 53, -21, 180, 46, 59, 291, 72, 57, 191, 32, 8, 58, 51, 40, 111]",572.2488356312631
26,"[1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 46, 86, 332, 34, 2, 281, 72, -70, 281, 55, 43, 146, 61, -30, 312, 35, -71, 19, 64, -6, 86, 63, 83, 172, 44, -60, 36, 59, 78, 333, 33, -39, 350, 34, 49, 313, 43, -84, 247, 59, 24, 214, 52, -71, 298, 52, -35, 276]",573.2450254063206
27,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 52, -25, 42, 69, 77, 322, 60, 52, 203, 52, -28, 98, 54, 3, 141, 44, 41, 147, 60, -41, 313, 63, 30, 246, 47, -51, 25, 72, 45, 4, 46, 88, 236, 57, -74, 260, 53, -18, 206, 68, -45, 222, 47, 68, 182, 68, 44, 69]",579.6441369686091
28,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 55, 14, 332, 41, 36, 128, 36, 31, 204, 55, -81, 79, 69, 47, 85, 55, -51, 97, 72, -47, 49, 40, 37, 179, 42, -75, 59, 40, -28, 203, 49, 18, 328, 40, -51, 234, 33, -15, 50, 60, 4, 146, 40, 38, 59, 40, -26, 193]",555.4552351547926
29,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 66, -67, 303, 35, -68, 112, 57, -40, 40, 63, -17, 128, 33, -69, 169, 34, -3, 52, 42, -4, 291, 62, 64, 1, 60, 73, 51, 68, 48, 240, 43, 87, 40, 56, -42, 199, 61, -84, 295, 57, -76, 122, 38, 13, 199, 51, 66, 115]",533.5442805252492
